,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,park,Lift,Status_Under Construction,Status_unknown,neworold_Resale,Furnished_status_Semi-Furnished,Furnished_status_Unfurnished,Furnished_status_unknown,type_of_building_Individual House
137,60000000.0,1316.0,19.046912,72.90759,3.0,3.0,5.0,5.0,5.0,0,1,0,0,1,0,0
138,28000000.0,1513.0,19.110616,72.856052,3.0,3.0,1.0,1.0,1.0,0,0,1,0,1,0,0
139,65000000.0,2300.0,19.04094,72.86528100000001,4.0,5.0,0.0,0.0,0.0,0,1,1,1,0,0,0
140,12000000.0,860.0,19.202279,72.82840999999999,2.0,2.0,0.0,0.0,0.0,0,1,0,0,0,0,0
141,65599999.99999999,1914.0,19.0166667,72.8166667,3.0,3.0,2.0,2.0,2.0,0,1,0,0,1,0,0
142,50000000.0,2303.0,18.99331,72.847938,3.0,3.0,0.0,0.0,0.0,0,1,1,0,1,0,0
143,28900000.0,1700.0,19.136807,72.930675,3.0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,0
144,18000000.0,1157.0,19.12998,72.933221,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
145,55000000.0,1500.0,19.0815087,72.8376755,3.0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,0
146,21000000.0,1050.0,19.12882804870605,72.8330078125,2.0,2.0,0.0,0.0,0.0,0,0,1,0,1,0,0
147,12600000.0,925.0,19.043911,72.89877800000001,2.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
148,9360000.0,585.0,19.1746739,72.94310379999999,2.0,2.0,3.0,3.0,3.0,0,1,0,0,1,0,0
149,17500000.0,1075.0,19.111397,72.90142800000001,2.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
150,9220000.0,1160.0,19.293649,72.865711,2.0,2.0,4.0,4.0,4.0,0,1,0,1,0,0,0
151,15100000.0,764.0,19.131688,72.840701,2.0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0
152,18500000.0,667.0,19.118157,72.856716,2.0,2.0,1.0,1.0,1.0,0,1,0,1,0,0,0
153,19500000.0,1030.0,19.123709,72.89286700000001,2.0,2.0,3.0,3.0,3.0,0,1,0,0,1,0,0
154,11900000.0,1060.0,19.202279,72.82840999999999,2.0,2.0,0.0,0.0,0.0,0,1,0,0,0,0,0
155,24400000.0,980.0,19.1746739,72.94310379999999,3.0,3.0,0.0,0.0,0.0,0,1,0,0,1,0,0
156,29000000.0,1670.0,19.1746739,72.94310379999999,3.0,3.0,0.0,0.0,0.0,0,1,1,0,1,0,0
157,28000000.0,1200.0,19.03731,72.87871,2.0,2.0,2.0,2.0,2.0,0,1,0,1,0,0,0
158,22500000.0,1250.0,19.133092,72.93475,3.0,3.0,1.0,1.0,1.0,0,1,0,1,0,0,0
159,26500000.0,1050.0,19.073390300000003,72.8654319,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,0
160,18000000.0,998.0,19.122307,72.89599270000001,2.0,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0
161,31000000.0,1156.0,19.0937492,72.922604,2.0,2.0,2.0,2.0,2.0,0,0,1,0,0,1,0
162,20500000.0,1350.0,19.10919095,72.88469140000001,2.0,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0
163,50000000.0,1400.0,19.0038320445835,72.8505157603601,3.0,3.0,3.0,3.0,3.0,0,0,1,0,0,1,0
164,33000000.0,1000.0,19.13832,72.81002,2.0,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0
165,13700000.000000002,960.0,19.167625,72.842016,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
166,17500000.0,900.0,19.211561,72.87060799999999,2.0,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0
167,47000000.0,1900.0,19.0051754,72.8498377,3.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0
168,16000000.0,1100.0,19.1981206009705,72.8781756998955,3.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1,1
169,21000000.0,1307.0,19.183819,72.86111600000001,2.0,2.0,2.0,2.0,2.0,0,0,1,0,0,1,0
170,26500000.0,1100.0,19.043911,72.89877800000001,2.0,2.0,0.0,0.0,0.0,0,0,1,1,0,0,0
171,35000000.0,1200.0,19.08147,72.86251,3.0,3.0,2.0,2.0,2.0,0,0,0,1,0,0,0
172,28500000.0,1680.0,19.183819,72.86111600000001,3.0,3.0,4.0,4.0,4.0,0,0,1,0,0,1,0
173,25000000.0,1300.0,19.191119,72.83116,3.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1,0
174,22000000.0,1050.0,19.11559447,72.90996700000001,2.0,2.0,0.0,0.0,0.0,0,0,1,0,0,1,0
175,55000000.0,2275.0,19.07907,72.907976,5.0,4.0,2.0,2.0,2.0,0,0,1,0,0,0,0
